Source_IP,Destination_IP,Protocol,Packet_Size,Duration,Flags,Timestamp,,,,,,,,,
192.168.205.17,10.105.43.50,UDP,608,1.916265237,ACK,1/1/2023 0:05,,,,,,,,,
192.168.163.40,10.54.8.32,TCP,1416,0.439793729,FIN,1/1/2023 0:05,,,,,,,,,
192.168.131.2,10.86.31.57,TCP,776,1.914314725,SYN,1/1/2023 0:05,,,,,,,,,
192.168.133.42,10.99.4.65,TCP,533,0.002267458,SYN,1/1/2023 0:06,,,,,,,,,
192.168.3.29,10.94.30.58,UDP,1237,0.388530767,ACK,1/1/2023 0:06,,,,,,,,,
192.168.190.18,10.114.8.97,TCP,1168,0.143355124,ACK,1/1/2023 0:06,,,,,,,,,
192.168.217.44,10.98.25.63,TCP,1002,0.006489275,FIN,1/1/2023 0:06,,,,,,,,,
192.168.161.10,10.33.16.6,TCP,718,0.638404509,SYN,1/1/2023 0:06,,,,,,,,,
192.168.189.36,10.61.30.92,TCP,312,0.927891195,SYN,1/1/2023 0:06,,,,,,,,,
192.168.13.31,10.74.40.54,TCP,559,0.457421248,ACK,1/1/2023 0:07,,,,,,,,,
192.168.47.15,10.163.38.91,ICMP,192,0.050440431,SYN,1/1/2023 0:07,,,,,,,,,
192.168.199.14,10.83.48.84,TCP,1340,0.163729125,SYN,1/1/2023 0:07,,,,,,,,,
192.168.214.40,10.129.36.27,TCP,654,0.00614732,RST,1/1/2023 0:07,,,,,,,,,
192.168.212.16,10.17.12.82,UDP,716,0.134837093,SYN,1/1/2023 0:07,,,,,,,,,
192.168.236.18,10.123.10.78,TCP,1191,0.786168072,SYN,1/1/2023 0:07,,,,,,,,,
192.168.110.24,10.3.38.77,TCP,805,2.020673564,SYN,1/1/2023 0:08,,,,,,,,,
192.168.153.25,10.82.42.39,ICMP,429,0.149134141,ACK,1/1/2023 0:08,,,,,,,,,
192.168.187.45,10.58.24.79,UDP,507,0.118185632,ACK,1/1/2023 0:08,,,,,,,,,
192.168.40.29,10.83.16.55,UDP,159,0.968161848,ACK,1/1/2023 0:08,,,,,,,,,
192.168.14.45,10.64.28.83,TCP,1043,0.899096666,RST,1/1/2023 0:08,,,,,,,,,
192.168.64.25,10.93.24.92,TCP,722,0.73356373,FIN,1/1/2023 0:08,,,,,,,,,
192.168.70.9,10.36.41.75,TCP,1210,0.207214528,SYN,1/1/2023 0:09,,,,,,,,,
192.168.87.1,10.81.40.54,UDP,583,0.563438592,SYN,1/1/2023 0:09,,,,,,,,,
192.168.235.8,10.72.27.91,TCP,93,1.000357482,FIN,1/1/2023 0:09,,,,,,,,,
192.168.215.11,10.109.51.64,TCP,1262,0.452922952,ACK,1/1/2023 0:09,,,,,,,,,
192.168.242.17,10.37.43.87,ICMP,790,1.074228233,FIN,1/1/2023 0:09,,,,,,,,,
192.168.135.35,10.61.21.68,TCP,798,0.042102071,ACK,1/1/2023 0:09,,,,,,,,,
192.168.162.33,10.165.49.61,ICMP,465,0.42554577,ACK,1/1/2023 0:10,,,,,,,,,
192.168.122.5,10.27.5.97,ICMP,1006,0.147126054,ACK,1/1/2023 0:10,,,,,,,,,
192.168.233.39,10.30.56.10,ICMP,1124,0.899353147,ACK,1/1/2023 0:10,,,,,,,,,
192.168.40.28,10.139.6.88,ICMP,584,0.510391785,ACK,1/1/2023 0:10,,,,,,,,,
192.168.134.9,10.155.10.96,TCP,1019,0.444776989,ACK,1/1/2023 0:10,,,,,,,,,
192.168.71.12,10.19.55.92,TCP,114,0.015085646,ACK,1/1/2023 0:10,,,,,,,,,
192.168.161.33,10.64.26.16,UDP,1453,0.490371288,ACK,1/1/2023 0:11,,,,,,,,,
192.168.47.23,10.163.5.10,ICMP,673,0.688725367,ACK,1/1/2023 0:11,,,,,,,,,
192.168.61.24,10.43.18.74,UDP,813,0.764834689,SYN,1/1/2023 0:11,,,,,,,,,
192.168.36.35,10.89.33.65,TCP,1200,1.477459664,ACK,1/1/2023 0:11,,,,,,,,,
192.168.171.40,10.73.32.90,TCP,1459,0.116046439,ACK,1/1/2023 0:11,,,,,,,,,
192.168.213.27,10.164.48.13,ICMP,106,1.398970032,SYN,1/1/2023 0:11,,,,,,,,,
192.168.34.1,10.101.29.88,TCP,1021,0.360010553,ACK,1/1/2023 0:12,,,,,,,,,
192.168.226.37,10.97.36.19,TCP,1375,0.044170551,ACK,1/1/2023 0:12,,,,,,,,,
192.168.174.14,10.65.29.86,TCP,961,0.025321647,ACK,1/1/2023 0:12,,,,,,,,,
192.168.130.1,10.159.32.40,UDP,135,0.587351098,SYN,1/1/2023 0:12,,,,,,,,,
192.168.4.26,10.142.5.80,TCP,94,1.163616441,ACK,1/1/2023 0:12,,,,,,,,,
192.168.141.39,10.84.33.38,TCP,471,1.451961771,SYN,1/1/2023 0:12,,,,,,,,,
192.168.26.9,10.135.11.39,TCP,1205,0.006779319,ACK,1/1/2023 0:13,,,,,,,,,
192.168.206.15,10.59.48.60,TCP,462,0.189290429,SYN,1/1/2023 0:13,,,,,,,,,
192.168.89.42,10.108.55.18,TCP,1428,0.507103771,ACK,1/1/2023 0:13,,,,,,,,,
192.168.123.13,10.122.47.21,UDP,1013,0.208810783,ACK,1/1/2023 0:13,,,,,,,,,
192.168.178.32,10.139.5.31,TCP,911,0.47382199,SYN,1/1/2023 0:13,,,,,,,,,
192.168.230.49,10.97.6.61,TCP,564,1.374539348,FIN,1/1/2023 0:13,,,,,,,,,
192.168.51.32,10.117.3.57,TCP,886,0.206707935,ACK,1/1/2023 0:14,,,,,,,,,
192.168.131.30,10.60.51.17,TCP,1046,0.113735606,SYN,1/1/2023 0:14,,,,,,,,,
192.168.228.23,10.156.2.59,TCP,355,0.857207348,SYN,1/1/2023 0:14,,,,,,,,,
192.168.230.45,10.2.45.27,UDP,806,0.359957861,SYN,1/1/2023 0:14,,,,,,,,,
192.168.142.43,10.0.14.78,TCP,161,0.36151443,SYN,1/1/2023 0:14,,,,,,,,,
192.168.28.36,10.131.3.89,UDP,956,0.669384591,ACK,1/1/2023 0:14,,,,,,,,,
192.168.12.32,10.123.10.33,TCP,920,0.042544909,ACK,1/1/2023 0:15,,,,,,,,,
192.168.70.22,10.10.11.79,TCP,504,0.207065716,RST,1/1/2023 0:15,,,,,,,,,
192.168.27.2,10.153.23.26,TCP,1090,4.019791805,FIN,1/1/2023 0:15,,,,,,,,,
192.168.169.45,10.154.35.91,TCP,1253,0.094894007,RST,1/1/2023 0:15,,,,,,,,,
192.168.61.6,10.101.53.2,TCP,675,0.235354872,SYN,1/1/2023 0:15,,,,,,,,,
192.168.27.28,10.8.7.64,TCP,663,0.782845648,FIN,1/1/2023 0:15,,,,,,,,,
192.168.107.44,10.114.0.21,UDP,691,0.12294895,SYN,1/1/2023 0:16,,,,,,,,,
192.168.83.30,10.153.14.43,TCP,790,0.092439433,ACK,1/1/2023 0:16,,,,,,,,,
192.168.189.11,10.166.15.35,UDP,413,0.183953298,FIN,1/1/2023 0:16,,,,,,,,,
192.168.127.28,10.22.11.56,TCP,1154,0.178010352,FIN,1/1/2023 0:16,,,,,,,,,
192.168.216.39,10.51.18.98,UDP,1155,0.378079935,SYN,1/1/2023 0:16,,,,,,,,,
192.168.189.33,10.135.50.87,TCP,906,0.050603555,ACK,1/1/2023 0:16,,,,,,,,,
192.168.128.27,10.138.58.43,TCP,193,0.761233407,SYN,1/1/2023 0:17,,,,,,,,,
192.168.189.13,10.97.4.37,TCP,548,0.372163992,ACK,1/1/2023 0:17,,,,,,,,,
192.168.232.3,10.152.23.24,UDP,179,0.866691965,ACK,1/1/2023 0:17,,,,,,,,,
192.168.102.6,10.105.33.82,TCP,451,2.298057413,SYN,1/1/2023 0:17,,,,,,,,,
192.168.199.27,10.139.41.79,ICMP,1242,0.235276081,SYN,1/1/2023 0:17,,,,,,,,,
192.168.136.37,10.110.11.29,ICMP,729,0.346186199,ACK,1/1/2023 0:17,,,,,,,,,
192.168.224.42,10.147.14.3,ICMP,325,1.30205582,ACK,1/1/2023 0:18,,,,,,,,,
192.168.171.24,10.79.18.71,UDP,1046,0.143707882,SYN,1/1/2023 0:18,,,,,,,,,
192.168.206.32,10.149.14.73,TCP,809,1.234906488,RST,1/1/2023 0:18,,,,,,,,,
192.168.95.24,10.16.32.2,UDP,645,1.068697253,SYN,1/1/2023 0:18,,,,,,,,,
192.168.232.49,10.6.54.95,TCP,746,0.286754499,RST,1/1/2023 0:18,,,,,,,,,
192.168.61.49,10.13.36.4,UDP,785,0.057447562,ACK,1/1/2023 0:18,,,,,,,,,
192.168.185.12,10.9.44.86,ICMP,113,0.433613141,ACK,1/1/2023 0:19,,,,,,,,,
192.168.38.2,10.43.54.18,TCP,973,0.834701945,SYN,1/1/2023 0:19,,,,,,,,,
192.168.130.49,10.10.49.54,TCP,684,0.315620325,ACK,1/1/2023 0:19,,,,,,,,,
192.168.100.49,10.128.52.96,UDP,766,0.044184879,SYN,1/1/2023 0:19,,,,,,,,,
192.168.183.17,10.32.6.83,UDP,258,1.066680632,ACK,1/1/2023 0:19,,,,,,,,,
192.168.186.49,10.24.4.49,TCP,426,0.193342418,SYN,1/1/2023 0:19,,,,,,,,,
192.168.1.2,10.73.3.24,TCP,416,0.034800264,SYN,1/1/2023 0:20,,,,,,,,,
192.168.219.23,10.120.59.12,TCP,1165,0.103848731,SYN,1/1/2023 0:20,,,,,,,,,
192.168.228.32,10.83.25.76,TCP,1387,0.080639841,ACK,1/1/2023 0:20,,,,,,,,,
192.168.224.1,10.61.32.62,UDP,161,0.425861815,ACK,1/1/2023 0:20,,,,,,,,,
192.168.146.2,10.75.57.38,TCP,160,1.206250624,SYN,1/1/2023 0:20,,,,,,,,,
192.168.52.44,10.144.9.83,ICMP,978,0.238817648,ACK,1/1/2023 0:20,,,,,,,,,
192.168.217.32,10.32.36.28,UDP,257,0.415105492,SYN,1/1/2023 0:21,,,,,,,,,
192.168.197.32,10.108.1.46,UDP,402,0.161819735,FIN,1/1/2023 0:21,,,,,,,,,
192.168.67.11,10.165.37.21,UDP,895,1.716643232,SYN,1/1/2023 0:21,,,,,,,,,
192.168.183.17,10.150.32.90,TCP,1408,2.404085603,ACK,1/1/2023 0:21,,,,,,,,,
192.168.37.24,10.42.53.94,TCP,607,1.081520966,RST,1/1/2023 0:21,,,,,,,,,
192.168.68.34,10.67.5.98,TCP,863,0.068637313,ACK,1/1/2023 0:21,,,,,,,,,
192.168.197.22,10.63.36.79,TCP,74,0.638779607,SYN,1/1/2023 0:22,,,,,,,,,
192.168.138.48,10.103.48.23,ICMP,113,0.109669675,ACK,1/1/2023 0:22,,,,,,,,,
192.168.143.33,10.72.33.34,TCP,360,0.182468339,FIN,1/1/2023 0:22,,,,,,,,,
192.168.200.6,10.154.15.4,TCP,833,0.217159139,RST,1/1/2023 0:22,,,,,,,,,
192.168.207.29,10.80.40.76,TCP,1012,0.34389805,SYN,1/1/2023 0:22,,,,,,,,,
192.168.2.20,10.99.29.63,UDP,438,1.779449199,ACK,1/1/2023 0:22,,,,,,,,,
192.168.186.36,10.77.13.66,TCP,110,0.559547353,SYN,1/1/2023 0:23,,,,,,,,,
192.168.146.26,10.27.20.79,TCP,654,0.011956787,SYN,1/1/2023 0:23,,,,,,,,,
192.168.194.19,10.107.45.87,UDP,377,0.390892404,RST,1/1/2023 0:23,,,,,,,,,
192.168.147.32,10.137.25.35,TCP,462,0.596606298,ACK,1/1/2023 0:23,,,,,,,,,
192.168.198.41,10.33.1.95,TCP,1321,0.136564155,ACK,1/1/2023 0:23,,,,,,,,,
192.168.160.40,10.42.51.52,TCP,141,1.291282953,FIN,1/1/2023 0:23,,,,,,,,,
192.168.127.39,10.109.4.19,UDP,1419,0.01162064,SYN,1/1/2023 0:24,,,,,,,,,
192.168.81.40,10.122.29.49,TCP,1086,0.086691789,ACK,1/1/2023 0:24,,,,,,,,,
192.168.128.11,10.124.46.63,ICMP,1435,0.548864694,ACK,1/1/2023 0:24,,,,,,,,,
192.168.219.25,10.115.16.29,TCP,653,0.575788505,SYN,1/1/2023 0:24,,,,,,,,,
192.168.177.23,10.75.7.79,TCP,713,1.082050799,FIN,1/1/2023 0:24,,,,,,,,,
192.168.158.30,10.52.33.28,UDP,600,0.239023636,SYN,1/1/2023 0:24,,,,,,,,,
192.168.41.35,10.144.52.82,TCP,269,0.332178452,ACK,1/1/2023 0:25,,,,,,,,,
192.168.6.16,10.23.23.76,ICMP,862,0.239866203,RST,1/1/2023 0:25,,,,,,,,,
192.168.89.48,10.35.31.69,TCP,1068,2.849640551,SYN,1/1/2023 0:25,,,,,,,,,
192.168.243.49,10.153.55.67,UDP,753,1.728175617,RST,1/1/2023 0:25,,,,,,,,,
192.168.1.1,10.32.38.84,TCP,1287,0.296330687,SYN,1/1/2023 0:25,,,,,,,,,
192.168.47.12,10.11.52.84,TCP,1089,0.521687722,ACK,1/1/2023 0:25,,,,,,,,,
192.168.196.37,10.80.42.72,TCP,838,0.102436814,ACK,1/1/2023 0:26,,,,,,,,,
192.168.159.9,10.106.12.73,TCP,298,0.483208358,ACK,1/1/2023 0:26,,,,,,,,,
192.168.232.35,10.82.25.5,TCP,916,0.227031205,SYN,1/1/2023 0:26,,,,,,,,,
192.168.146.48,10.105.44.89,TCP,465,0.259137035,RST,1/1/2023 0:26,,,,,,,,,
192.168.207.3,10.132.22.35,ICMP,598,0.265775946,ACK,1/1/2023 0:26,,,,,,,,,
192.168.147.24,10.95.53.49,TCP,393,0.066416293,SYN,1/1/2023 0:26,,,,,,,,,
192.168.53.33,10.69.55.78,TCP,937,0.162769961,ACK,1/1/2023 0:27,,,,,,,,,
192.168.151.11,10.119.28.37,TCP,69,0.205259406,RST,1/1/2023 0:27,,,,,,,,,
192.168.112.8,10.118.21.84,ICMP,890,0.373746705,RST,1/1/2023 0:27,,,,,,,,,
192.168.163.38,10.135.59.91,UDP,798,0.111700374,FIN,1/1/2023 0:27,,,,,,,,,
192.168.103.20,10.70.59.55,TCP,514,0.044405329,ACK,1/1/2023 0:27,,,,,,,,,
192.168.226.48,10.161.40.28,TCP,1247,0.482359109,ACK,1/1/2023 0:27,,,,,,,,,
192.168.216.35,10.30.20.74,TCP,316,0.026894804,ACK,1/1/2023 0:28,,,,,,,,,
192.168.152.29,10.50.35.77,TCP,379,0.354508599,SYN,1/1/2023 0:28,,,,,,,,,
192.168.145.46,10.153.33.19,ICMP,125,0.104107817,ACK,1/1/2023 0:28,,,,,,,,,
192.168.81.2,10.5.47.15,UDP,935,1.175057823,ACK,1/1/2023 0:28,,,,,,,,,
192.168.53.35,10.109.44.49,TCP,1355,1.460948986,SYN,1/1/2023 0:28,,,,,,,,,
192.168.207.41,10.17.19.65,TCP,553,0.001793762,SYN,1/1/2023 0:28,,,,,,,,,
192.168.227.33,10.149.59.36,TCP,513,0.572458863,ACK,1/1/2023 0:29,,,,,,,,,
192.168.67.33,10.111.17.10,UDP,1116,0.200344923,SYN,1/1/2023 0:29,,,,,,,,,
192.168.141.21,10.19.59.70,TCP,1180,0.049574165,ACK,1/1/2023 0:29,,,,,,,,,
192.168.47.20,10.112.36.59,TCP,191,0.720649969,SYN,1/1/2023 0:29,,,,,,,,,
192.168.127.8,10.149.3.4,TCP,697,1.644989461,SYN,1/1/2023 0:29,,,,,,,,,
192.168.134.3,10.82.28.58,UDP,662,0.200228707,SYN,1/1/2023 0:29,,,,,,,,,
192.168.144.33,10.57.53.28,ICMP,1027,0.19056585,SYN,1/1/2023 0:30,,,,,,,,,
192.168.175.12,10.104.12.39,UDP,1491,0.072752328,FIN,1/1/2023 0:30,,,,,,,,,
192.168.186.22,10.56.27.30,UDP,925,0.560446884,FIN,1/1/2023 0:30,,,,,,,,,
192.168.118.22,10.85.49.54,TCP,229,0.899490612,FIN,1/1/2023 0:30,,,,,,,,,
192.168.237.30,10.22.17.81,TCP,1477,0.024307539,ACK,1/1/2023 0:30,,,,,,,,,
192.168.37.38,10.124.53.95,TCP,1319,0.522885984,ACK,1/1/2023 0:30,,,,,,,,,
192.168.108.8,10.155.7.32,TCP,1240,0.652207355,ACK,1/1/2023 0:31,,,,,,,,,
192.168.26.27,10.106.5.72,ICMP,519,0.414196996,RST,1/1/2023 0:31,,,,,,,,,
192.168.225.21,10.117.21.40,UDP,717,0.171061365,SYN,1/1/2023 0:31,,,,,,,,,
192.168.29.33,10.46.30.70,TCP,1186,0.121756499,SYN,1/1/2023 0:31,,,,,,,,,
192.168.27.47,10.134.56.98,TCP,517,0.025555318,SYN,1/1/2023 0:31,,,,,,,,,
192.168.191.33,10.26.1.54,UDP,1261,0.100034671,SYN,1/1/2023 0:31,,,,,,,,,
192.168.196.48,10.141.40.93,TCP,118,1.848274489,SYN,1/1/2023 0:32,,,,,,,,,
192.168.146.4,10.149.4.56,TCP,676,0.445734204,ACK,1/1/2023 0:32,,,,,,,,,
192.168.34.49,10.107.17.60,TCP,408,0.088343475,ACK,1/1/2023 0:32,,,,,,,,,
192.168.16.44,10.50.15.6,TCP,237,0.551540969,ACK,1/1/2023 0:32,,,,,,,,,
192.168.219.30,10.0.11.24,TCP,855,0.633526908,ACK,1/1/2023 0:32,,,,,,,,,
192.168.220.46,10.125.10.43,TCP,1121,0.248362531,FIN,1/1/2023 0:32,,,,,,,,,
192.168.116.6,10.104.33.93,ICMP,1390,0.38633038,ACK,1/1/2023 0:33,,,,,,,,,
192.168.98.41,10.56.20.40,ICMP,517,0.239858631,SYN,1/1/2023 0:33,,,,,,,,,
192.168.36.24,10.32.32.28,UDP,1452,0.150653788,SYN,1/1/2023 0:33,,,,,,,,,
192.168.92.49,10.107.35.65,TCP,1071,0.242456614,FIN,1/1/2023 0:33,,,,,,,,,
192.168.45.31,10.75.45.33,TCP,639,1.019510056,SYN,1/1/2023 0:33,,,,,,,,,
192.168.98.33,10.107.4.66,TCP,449,0.39361851,ACK,1/1/2023 0:33,,,,,,,,,
192.168.115.21,10.163.23.54,TCP,1092,0.212553489,FIN,1/1/2023 0:34,,,,,,,,,
192.168.159.23,10.113.51.21,UDP,1336,0.451151289,SYN,1/1/2023 0:34,,,,,,,,,
192.168.160.3,10.123.29.15,UDP,608,0.133266381,SYN,1/1/2023 0:34,,,,,,,,,
192.168.127.18,10.136.54.32,UDP,536,0.179887896,ACK,1/1/2023 0:34,,,,,,,,,
192.168.24.42,10.71.22.27,ICMP,544,0.126223607,FIN,1/1/2023 0:34,,,,,,,,,
192.168.222.3,10.41.7.93,TCP,574,1.087069169,ACK,1/1/2023 0:34,,,,,,,,,
192.168.103.46,10.10.20.44,TCP,108,0.693376179,SYN,1/1/2023 0:35,,,,,,,,,
192.168.23.32,10.166.29.33,UDP,174,0.81005929,SYN,1/1/2023 0:35,,,,,,,,,
192.168.174.22,10.66.54.13,ICMP,338,0.127593501,ACK,1/1/2023 0:35,,,,,,,,,
192.168.150.2,10.35.22.26,TCP,158,0.053280245,RST,1/1/2023 0:35,,,,,,,,,
192.168.126.27,10.37.35.23,TCP,1013,1.668658244,SYN,1/1/2023 0:35,,,,,,,,,
192.168.233.2,10.135.13.24,TCP,277,0.311392041,ACK,1/1/2023 0:35,,,,,,,,,
192.168.217.17,10.118.17.40,TCP,166,0.033264951,ACK,1/1/2023 0:36,,,,,,,,,
192.168.103.33,10.100.45.25,TCP,902,2.341494807,SYN,1/1/2023 0:36,,,,,,,,,
192.168.136.43,10.117.46.84,UDP,973,0.593124515,ACK,1/1/2023 0:36,,,,,,,,,
192.168.175.39,10.152.16.4,TCP,719,0.052561499,ACK,1/1/2023 0:36,,,,,,,,,
192.168.220.42,10.84.19.81,ICMP,334,0.604173341,SYN,1/1/2023 0:36,,,,,,,,,
192.168.25.35,10.98.40.60,TCP,1289,0.157330767,SYN,1/1/2023 0:36,,,,,,,,,
192.168.49.25,10.86.20.43,UDP,1333,0.491624069,SYN,1/1/2023 0:37,,,,,,,,,
192.168.151.13,10.51.20.24,UDP,796,0.930649556,ACK,1/1/2023 0:37,,,,,,,,,
192.168.59.7,10.164.57.82,UDP,345,0.532389588,ACK,1/1/2023 0:37,,,,,,,,,
192.168.56.36,10.132.43.91,TCP,990,0.064337193,SYN,1/1/2023 0:37,,,,,,,,,
192.168.172.20,10.133.48.78,TCP,647,0.146953527,ACK,1/1/2023 0:37,,,,,,,,,
192.168.64.8,10.130.0.31,TCP,109,0.899245683,ACK,1/1/2023 0:37,,,,,,,,,
192.168.237.16,10.44.49.74,TCP,819,0.389120611,FIN,1/1/2023 0:38,,,,,,,,,
192.168.141.12,10.54.59.31,TCP,369,0.039268126,SYN,1/1/2023 0:38,,,,,,,,,
192.168.114.23,10.114.16.39,TCP,482,0.818510485,SYN,1/1/2023 0:38,,,,,,,,,
192.168.142.28,10.123.39.48,TCP,1288,0.018903462,SYN,1/1/2023 0:38,,,,,,,,,
192.168.97.2,10.79.26.16,TCP,927,0.440239697,ACK,1/1/2023 0:38,,,,,,,,,
192.168.31.23,10.108.3.42,TCP,497,0.738520963,SYN,1/1/2023 0:38,,,,,,,,,
192.168.190.22,10.116.26.54,TCP,1104,0.516700524,SYN,1/1/2023 0:39,,,,,,,,,
192.168.50.25,10.136.24.88,TCP,1495,1.986329478,SYN,1/1/2023 0:39,,,,,,,,,
192.168.185.22,10.57.27.18,TCP,1109,0.414904049,SYN,1/1/2023 0:39,,,,,,,,,
192.168.57.22,10.89.9.49,UDP,438,0.345323783,SYN,1/1/2023 0:39,,,,,,,,,
192.168.48.42,10.43.33.75,TCP,422,0.162782331,ACK,1/1/2023 0:39,,,,,,,,,
192.168.69.15,10.109.37.65,ICMP,892,0.429951439,SYN,1/1/2023 0:39,,,,,,,,,
192.168.53.43,10.80.48.81,TCP,1320,2.168624361,SYN,1/1/2023 0:40,,,,,,,,,
192.168.187.37,10.127.9.63,TCP,975,0.295045216,RST,1/1/2023 0:40,,,,,,,,,
192.168.224.8,10.93.41.46,TCP,383,0.242775911,ACK,1/1/2023 0:40,,,,,,,,,
192.168.52.44,10.1.49.20,TCP,683,0.561663823,SYN,1/1/2023 0:40,,,,,,,,,
192.168.107.5,10.2.35.5,TCP,406,0.168488472,SYN,1/1/2023 0:40,,,,,,,,,
192.168.102.4,10.19.2.3,UDP,1235,0.026429859,ACK,1/1/2023 0:40,,,,,,,,,
192.168.5.45,10.99.5.88,UDP,1448,0.647382742,ACK,1/1/2023 0:41,,,,,,,,,
192.168.223.30,10.127.46.37,TCP,139,1.359421037,RST,1/1/2023 0:41,,,,,,,,,
192.168.46.35,10.7.37.80,UDP,665,0.291482882,ACK,1/1/2023 0:41,,,,,,,,,
192.168.54.40,10.106.0.78,TCP,1074,0.248968663,SYN,1/1/2023 0:41,,,,,,,,,
192.168.51.16,10.44.9.10,TCP,924,0.063673959,RST,1/1/2023 0:41,,,,,,,,,
192.168.12.42,10.85.39.95,TCP,610,0.086720444,SYN,1/1/2023 0:41,,,,,,,,,
192.168.157.19,10.86.40.12,TCP,1194,0.695727413,SYN,1/1/2023 0:42,,,,,,,,,
192.168.144.19,10.7.59.45,TCP,623,2.169291666,RST,1/1/2023 0:42,,,,,,,,,
192.168.91.26,10.87.0.26,TCP,1001,0.067582312,SYN,1/1/2023 0:42,,,,,,,,,
192.168.228.26,10.85.42.89,TCP,252,1.905254689,ACK,1/1/2023 0:42,,,,,,,,,
192.168.116.23,10.158.55.98,TCP,1488,0.746079789,SYN,1/1/2023 0:42,,,,,,,,,
192.168.126.9,10.36.10.4,TCP,846,1.030821106,RST,1/1/2023 0:42,,,,,,,,,
192.168.139.1,10.71.56.44,TCP,1353,0.925781907,ACK,1/1/2023 0:43,,,,,,,,,
192.168.57.1,10.94.48.87,TCP,293,0.513667722,SYN,1/1/2023 0:43,,,,,,,,,
192.168.238.34,10.167.37.68,TCP,1105,0.693719276,SYN,1/1/2023 0:43,,,,,,,,,
192.168.95.48,10.99.6.10,UDP,437,2.104865301,ACK,1/1/2023 0:43,,,,,,,,,
192.168.88.40,10.69.30.4,TCP,512,0.32908594,SYN,1/1/2023 0:43,,,,,,,,,
192.168.236.1,10.20.41.84,TCP,737,0.816235406,ACK,1/1/2023 0:43,,,,,,,,,
192.168.15.39,10.115.5.11,UDP,543,0.382896099,RST,1/1/2023 0:44,,,,,,,,,
